Line	Spkr	StTime	Content	EnTime
1	ATL_se0_ag1_f_01	0.4436	They talking about, don't send him to his daddy.	2.4068
2	ATL_se0_ag1_f_01	2.4068	(pause 0.28)	2.6829
3	ATL_se0_ag1_f_01	2.6829	You just need to go file for child support.	4.9538
4	ATL_int_01	5.1142	[/Oh man/.]	5.6125
5	ATL_se0_ag1_f_01	5.1488	[Bye.]	5.5995
6	ATL_se0_ag1_f_01	6.0026	Why?	6.3944
7	ATL_se0_ag1_f_01	6.3944	(pause 0.80)	7.1901
8	ATL_se0_ag1_f_01	7.1901	Why?	7.5398
9	ATL_int_01	8.6665	Okay, what's your name?	9.7375
10	ATL_se0_ag1_f_01	10.4043	/RD-NAME-2/	10.9287
11	ATL_se0_ag1_f_01	10.9287	(pause 0.52)	11.4445
12	ATL_se0_ag1_f_01	11.4445	/RD-NAME-1/ what?	12.2015
13	ATL_se0_ag1_f_01	12.2015	(pause 0.48)	12.6840
14	ATL_se0_ag1_f_01	12.6840	/RD-NAME-3/	13.8498
15	ATL_int_01	14.0973	Okay.	14.7678
16	ATL_int_01	14.7678	(pause 0.61)	15.3758
17	ATL_int_01	15.3758	And, uh,	16.3352
18	ATL_int_01	16.3352	(pause 0.39)	16.7272
19	ATL_int_01	16.7272	are you a male or female?	17.9416
20	ATL_se0_ag1_f_01	18.6134	I'm a girl, I think.	20.0219
21	ATL_int_01	20.2603	[<laugh>]	21.3871
22	ATL_se0_ag1_f_01	20.4206	[I'm just playing.]	21.3784
23	ATL_int_01	22.2491	Okay.	22.9279
24	ATL_int_01	22.9279	(pause 0.19)	23.1153
25	ATL_int_01	23.1153	And your ethnicity?	24.3267
26	ATL_se0_ag1_f_01	25.4923	Hum, I'm supposed to say, black or non-hispanic.	28.0850
27	ATL_int_01	28.4926	Okay.	28.9851
28	ATL_int_01	28.9851	(pause 0.74)	29.7261
29	ATL_int_01	29.7261	Um, year of birth?	31.3451
30	ATL_se0_ag1_f_01	31.9894	<ts>	32.0798
31	ATL_se0_ag1_f_01	32.0798	(pause 0.19)	32.2678
32	ATL_se0_ag1_f_01	32.2678	Ninety-five.	33.6038
33	ATL_int_01	34.1189	Okay. Nineteen-ninety five,	35.8211
34	ATL_int_01	35.8211	(pause 0.33)	36.1507
35	ATL_int_01	36.1507	that was a good year.	36.9489
36	ATL_int_01	36.9489	(pause 0.56)	37.5093
37	ATL_int_01	37.5093	Um, hometown?	38.7603
38	ATL_se0_ag1_f_01	39.4057	<ts>	39.6208
39	ATL_se0_ag1_f_01	39.6208	(pause 0.18)	39.8019
40	ATL_se0_ag1_f_01	39.8019	Stone Mountain.	41.2228
41	ATL_int_01	41.2738	Okay, we in the Mount with it.	42.7054
42	ATL_int_01	42.7054	(pause 0.66)	43.3678
43	ATL_int_01	43.3678	Neighborhood.	44.1037
44	ATL_se0_ag1_f_01	44.5339	<ts>	44.6245
45	ATL_se0_ag1_f_01	44.6245	(pause 0.09)	44.7150
46	ATL_se0_ag1_f_01	44.7150	[/RD-ADDRESS-4/]	47.8455
47	ATL_int_01	45.7397	[/RD-ADDRESS-4/.]	47.8652
48	ATL_int_01	47.9948	Okay.	48.6519
49	ATL_int_01	48.6519	(pause 0.10)	48.7472
50	ATL_int_01	48.7472	/RD-ADDRESS-6/, we- we in here. Let's see what else, um,	52.7699
51	ATL_int_01	52.7699	(pause 0.52)	53.2851
52	ATL_int_01	53.2851	How many years have you been in the Atlanta area?	56.1552
53	ATL_se0_ag1_f_01	56.3131	Psh, twenty-one.	57.8246
54	ATL_int_01	57.9604	Okay.	58.4869
55	ATL_se0_ag1_f_01	59.0020	Twenty what?	59.9417
56	ATL_int_01	59.9299	Twenty-one, Twenty-one.	61.0564
57	ATL_int_01	61.6168	Okay. Let's see, any other places lived?	64.4999
58	ATL_se0_ag1_f_01	65.4096	Nah, I don't know nothing [else.]	67.6528
59	ATL_int_01	67.5942	[You] ain't gonna claim nothing else?	69.1056
60	ATL_se0_ag1_f_01	69.1170	Nah, [this all I know.]	71.1096
61	ATL_int_01	69.8982	[Okay. <laugh>]	71.5511
62	ATL_int_01	72.2582	Alright, [let's see],	73.5942
63	ATL_se0_ag1_f_01	72.9715	Shut up.	73.6508
64	ATL_int_01	74.1829	um,	74.9245
65	ATL_int_01	74.9245	(pause 2.01)	76.9341
66	ATL_int_01	76.9341	your parent's birthplace?	78.3833
67	ATL_se0_ag1_f_01	78.6205	<ts>	78.7904
68	ATL_se0_ag1_f_01	78.7904	(pause 0.15)	78.9375
69	ATL_se0_ag1_f_01	78.9375	Ooh, my daddy was born	80.6471
70	ATL_se0_ag1_f_01	80.6471	(pause 1.00)	81.6434
71	ATL_se0_ag1_f_01	81.6434	in- where my daddy was born at?	83.8172
72	ATL_se0_ag1_f_01	83.8172	(pause 0.17)	83.9922
73	ATL_se0_ag1_f_01	83.9922	My mama was born in Florida. My daddy was born in Decatur.	87.0038
74	ATL_int_01	87.0145	Okay.	87.6286
75	ATL_se0_ag1_f_01	87.6720	Atlanta,	88.3978
76	ATL_se0_ag1_f_01	88.3978	(pause 0.31)	88.7079
77	ATL_se0_ag1_f_01	88.7079	one of them.	89.3158
