Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.2851	Were you-	0.6613
2	DCB_int_01	0.6613	(pause 0.08)	0.7413
3	DCB_int_01	0.7413	were you born and raised in DC?	2.2173
4	DCB_se1_ag4_f_01	2.3234	Mm-hm.	2.7716
5	DCB_int_01	3.5360	What [neighborhood?]	4.2563
6	DCB_se1_ag4_f_01	3.6921	[<ts> Yes.]	4.2603
7	DCB_se1_ag4_f_01	4.8526	Um,	5.2942
8	DCB_se1_ag4_f_01	5.2942	(pause 0.13)	5.4222
9	DCB_se1_ag4_f_01	5.4222	Ivory City.	6.1626
10	DCB_int_01	6.6482	Which [one?]	7.0229
11	DCB_se1_ag4_f_01	6.8123	[Northeast.]	7.4846
12	DCB_int_01	7.5286	Northeast? And what is it called? What's the-	8.9773
13	DCB_se1_ag4_f_01	9.0387	Ivory City.	9.7790
14	DCB_int_01	9.8551	Ivy City?	10.4633
15	DCB_se1_ag4_f_01	10.6514	Ivory.	11.1757
16	DCB_int_01	11.2691	Ivory City.	12.0424
17	DCB_se1_ag4_f_01	12.0414	[Mm-hm.]	12.4897
18	DCB_int_01	12.2295	[Where's] that?	12.6897
19	DCB_se1_ag4_f_01	13.7262	Um, it's over there off of Trinidad.	16.0073
20	DCB_se1_ag4_f_01	16.0073	(pause 0.11)	16.1127
21	DCB_se1_ag4_f_01	16.1127	M- M- [Montello Avenue.]	17.9416
22	DCB_int_01	16.4903	[Oh.]	17.1346
23	DCB_int_01	17.1346	(pause 0.37)	17.5067
24	DCB_int_01	17.5067	[Mm-hm.]	17.9454
25	DCB_se1_ag4_f_01	18.0150	[Mm-hm.]	18.4363
26	DCB_int_01	18.0150	[Mm-hm.]	18.4363
27	DCB_se1_ag4_f_01	18.5112	Over there.	19.0034
28	DCB_int_01	19.1569	And so you've lived here all your life?	20.4735
29	DCB_se1_ag4_f_01	20.5575	All my life.	21.4619
30	DCB_int_01	22.6759	Um,	23.5683
31	DCB_int_01	23.5683	(pause 1.75)	25.3185
32	DCB_int_01	25.3185	In school where'd you go?	26.2429
33	DCB_se1_ag4_f_01	27.0527	Crummell.	27.5569
34	DCB_se1_ag4_f_01	27.5569	(pause 0.18)	27.7370
35	DCB_se1_ag4_f_01	27.7370	That [was my-]	28.3052
36	DCB_int_01	27.9131	[Crummell?]	28.4413
37	DCB_se1_ag4_f_01	28.4987	[Uh-huh.]	28.9749
38	DCB_int_01	28.6014	[High school?]	29.0896
39	DCB_se1_ag4_f_01	29.3431	No that was my elementary school.	30.9719
40	DCB_int_01	30.9612	Crummell.	31.6055
41	DCB_int_01	33.8105	Where's that?	34.1627
42	DCB_int_01	34.1627	(pause 0.28)	34.4416
43	DCB_int_01	34.4416	Or where was it? I don't-	35.2980
44	DCB_se1_ag4_f_01	35.2900	Um, Crummell? N-	36.3025
45	DCB_se1_ag4_f_01	36.4585	I-	36.5346
46	DCB_se1_ag4_f_01	36.5346	(pause 0.11)	36.6426
47	DCB_se1_ag4_f_01	36.6426	Ivory City.	37.3127
48	DCB_int_01	37.6351	Oh it still [exists?]	38.7036
49	DCB_se1_ag4_f_01	38.5195	[Mm-hm.]	39.0077
50	DCB_se1_ag4_f_01	39.3426	They done tore it down but the building is still [there.]	41.9198
51	DCB_int_01	41.5116	[It's still] there?	42.1996
52	DCB_se1_ag4_f_01	42.2520	Mm-hm.	42.6506
53	DCB_int_01	42.7322	Um,	43.4085
54	DCB_int_01	43.4085	(pause 0.47)	43.8755
55	DCB_int_01	43.8755	what about your	44.4077
56	DCB_int_01	44.4077	(pause 0.16)	44.5718
57	DCB_int_01	44.5718	parents? Your father, was he born here?	46.2238
58	DCB_se1_ag4_f_01	46.5127	No he was born in um,	48.0754
59	DCB_se1_ag4_f_01	48.0754	(pause 0.39)	48.4640
60	DCB_se1_ag4_f_01	48.4640	<ts>	48.5360
61	DCB_se1_ag4_f_01	48.5360	(pause 0.27)	48.8031
62	DCB_se1_ag4_f_01	48.8031	Jenkinsville, South Carolina.	50.4853
63	DCB_int_01	52.9945	And m-	53.2439
64	DCB_int_01	53.2439	(pause 0.12)	53.3680
65	DCB_int_01	53.3680	mother?	53.7202
66	DCB_se1_ag4_f_01	54.1444	Mother was born from	55.1008
67	DCB_se1_ag4_f_01	55.1008	(pause 0.12)	55.2169
68	DCB_se1_ag4_f_01	55.2169	at Leavenworth, Kansas.	56.6542
69	DCB_int_01	56.9524	Oh.	57.3086
70	DCB_int_01	57.3086	(pause 0.28)	57.5847
71	DCB_int_01	57.5847	Wow.	57.9129
72	DCB_se1_ag4_f_01	58.2090	<laugh>	59.3503
73	DCB_int_01	59.5976	So how did you end up here?	60.7576
74	DCB_se1_ag4_f_01	61.6894	I was born here, she /did/- she had all of us here.	64.3014
75	DCB_int_01	64.5787	And how m- You have- how many siblings do you have?	66.3835
76	DCB_se1_ag4_f_01	66.4383	Um, I have	67.2143
77	DCB_se1_ag4_f_01	67.2143	(pause 0.20)	67.4148
78	DCB_se1_ag4_f_01	67.4148	ten sisters and four [brothers.]	71.7015
79	DCB_int_01	71.1032	[Wow.] (whispered)	71.5314
80	DCB_se1_ag4_f_01	71.8036	Yeah. (whispered)	72.4979
81	DCB_int_01	72.5479	And what number are you?	73.4963
82	DCB_se1_ag4_f_01	73.9125	Seven.	74.3259
83	DCB_int_01	75.1891	Oh so you're right in the middle.	76.4971
84	DCB_se1_ag4_f_01	76.5725	Right in the middle.	77.5970
85	DCB_se1_ag4_f_01	77.5970	(pause 0.23)	77.8291
86	DCB_se1_ag4_f_01	77.8291	I'm the last child from the first group.	80.2756
87	DCB_int_01	80.4437	Okay, and then the- how big is the break between the two?	82.8584
88	DCB_se1_ag4_f_01	82.9823	Um,	83.5265
89	DCB_se1_ag4_f_01	83.5265	(pause 0.22)	83.7466
90	DCB_se1_ag4_f_01	83.7466	three years.	84.4733
91	DCB_int_01	84.5150	Three years and then it's [your-]	85.8503
92	DCB_se1_ag4_f_01	85.5262	[And] then the rest of ['em come along.]	87.2888
93	DCB_int_01	86.6267	[Ah gotcha.]	87.7472
94	DCB_se1_ag4_f_01	88.0331	[Mm-hm.]	88.5611
95	DCB_int_01	88.1491	[I'm'a move this so you can have some space] to move. What about-	90.7664
96	DCB_se1_ag4_f_01	88.8375	[Mm-hm.]	89.2977
97	DCB_se1_ag4_f_01	89.2977	(pause 0.25)	89.5458
98	DCB_se1_ag4_f_01	89.5458	[Mm-hm.]	89.9620
99	DCB_int_01	91.0265	what did your father do?	91.8349
