Line	Spkr	StTime	Content	EnTime
1	DCB_se3_ag4_m_02	0.5032	But there's one thing that I wanted to get back to that you-	3.0793
2	DCB_se3_ag4_m_02	3.0793	(pause 0.63)	3.7087
3	DCB_se3_ag4_m_02	3.7087	you mentioned early on and you wanted to talk about that we haven't talked about it,	7.2028
4	DCB_se3_ag4_m_02	7.2028	(pause 0.30)	7.5072
5	DCB_se3_ag4_m_02	7.5072	and that was the whole thing about s-	8.7248
6	DCB_se3_ag4_m_02	8.7248	(pause 0.16)	8.8876
7	DCB_se3_ag4_m_02	8.8876	s- where'd you go to school.	9.7087
8	DCB_int_01	9.9707	Where'd you go to school?	10.7777
9	DCB_se3_ag4_m_02	11.0821	Okay.	11.3723
10	DCB_se3_ag4_m_02	11.3723	(pause 0.62)	11.9923
11	DCB_se3_ag4_m_02	11.9923	So	12.5586
12	DCB_se3_ag4_m_02	12.5586	(pause 1.47)	14.0240
13	DCB_se3_ag4_m_02	14.0240	there are probably a lot of different reasons why people-	16.5653
14	DCB_se3_ag4_m_02	16.5653	(pause 1.10)	17.6667
15	DCB_se3_ag4_m_02	17.6667	that people would attribute it why that's important, why that's sort of unique here.	20.9867
16	DCB_se3_ag4_m_02	20.9867	(pause 1.35)	22.3388
17	DCB_se3_ag4_m_02	22.3388	But I can tell you	23.3581
18	DCB_se3_ag4_m_02	23.3581	(pause 0.35)	23.7091
19	DCB_se3_ag4_m_02	23.7091	that I remember early on	25.1772
20	DCB_se3_ag4_m_02	25.1772	(pause 1.19)	26.3708
21	DCB_se3_ag4_m_02	26.3708	there was huge rivalries	28.8414
22	DCB_se3_ag4_m_02	28.8414	(pause 0.65)	29.4926
23	DCB_se3_ag4_m_02	29.4926	between the schools.	30.7073
24	DCB_se3_ag4_m_02	30.7073	(pause 1.39)	32.1018
25	DCB_se3_ag4_m_02	32.1018	And	32.6823
26	DCB_se3_ag4_m_02	32.6823	(pause 0.23)	32.9159
27	DCB_se3_ag4_m_02	32.9159	on a number of different levels. So there was	35.1245
28	DCB_se3_ag4_m_02	35.1245	(pause 0.34)	35.4643
29	DCB_se3_ag4_m_02	35.4643	in sports,	36.2359
30	DCB_se3_ag4_m_02	36.2359	(pause 1.58)	37.8116
31	DCB_se3_ag4_m_02	37.8116	in academics.	38.9796
32	DCB_se3_ag4_m_02	38.9796	(pause 1.02)	39.9990
33	DCB_se3_ag4_m_02	39.9990	Um,	40.6290
34	DCB_se3_ag4_m_02	40.6290	(pause 0.91)	41.5351
35	DCB_se3_ag4_m_02	41.5351	all of the schools	42.8418
36	DCB_se3_ag4_m_02	42.8418	(pause 0.49)	43.3302
37	DCB_se3_ag4_m_02	43.3302	used to have	44.9092
38	DCB_se3_ag4_m_02	44.9092	(pause 0.56)	45.4681
39	DCB_se3_ag4_m_02	45.4681	ROTC programs.	46.9334
40	DCB_se3_ag4_m_02	46.9334	(pause 2.12)	49.0541
41	DCB_se3_ag4_m_02	49.0541	And	49.9461
42	DCB_se3_ag4_m_02	49.9461	(pause 0.59)	50.5336
43	DCB_se3_ag4_m_02	50.5336	every year	51.5035
44	DCB_se3_ag4_m_02	51.5035	(pause 0.79)	52.2892
45	DCB_se3_ag4_m_02	52.2892	they would have a huge	53.7970
46	DCB_se3_ag4_m_02	53.7970	(pause 0.27)	54.0631
47	DCB_se3_ag4_m_02	54.0631	huge	55.1037
48	DCB_se3_ag4_m_02	55.1037	(pause 0.32)	55.4223
49	DCB_se3_ag4_m_02	55.4223	competition.	56.2117
50	DCB_se3_ag4_m_02	56.2117	(pause 1.25)	57.4610
51	DCB_se3_ag4_m_02	57.4610	It was a really really	59.5210
52	DCB_se3_ag4_m_02	59.5210	(pause 0.22)	59.7404
53	DCB_se3_ag4_m_02	59.7404	big	60.1085
54	DCB_se3_ag4_m_02	60.1085	(pause 0.22)	60.3321
55	DCB_se3_ag4_m_02	60.3321	deal.	60.8233
56	DCB_se3_ag4_m_02	60.8233	(pause 1.55)	62.3779
57	DCB_se3_ag4_m_02	62.3779	And	62.9867
58	DCB_se3_ag4_m_02	62.9867	(pause 0.30)	63.2911
59	DCB_se3_ag4_m_02	63.2911	the schools, the- the- the guys in the program,	65.9740
60	DCB_se3_ag4_m_02	65.9740	(pause 0.30)	66.2755
61	DCB_se3_ag4_m_02	66.2755	they had this drill competition,	67.8541
62	DCB_se3_ag4_m_02	67.8541	(pause 0.40)	68.2505
63	DCB_se3_ag4_m_02	68.2505	they would train. They would train as hard as	70.9546
64	DCB_se3_ag4_m_02	70.9546	(pause 0.24)	71.1924
65	DCB_se3_ag4_m_02	71.1924	the basketball and football players would train.	73.0994
66	DCB_se3_ag4_m_02	73.0994	(pause 0.65)	73.7479
67	DCB_se3_ag4_m_02	73.7479	It was a really really big deal.	75.6167
68	DCB_se3_ag4_m_02	75.6167	(pause 1.03)	76.6432
69	DCB_se3_ag4_m_02	76.6432	And, um,	78.1439
70	DCB_se3_ag4_m_02	78.1439	(pause 0.33)	78.4737
71	DCB_se3_ag4_m_02	78.4737	there was a lot of public recognition for that.	80.7106
72	DCB_se3_ag4_m_02	80.7106	(pause 0.79)	81.5035
73	DCB_se3_ag4_m_02	81.5035	Um, growing up	82.6644
74	DCB_se3_ag4_m_02	82.6644	(pause 0.45)	83.1175
75	DCB_se3_ag4_m_02	83.1175	here when I was in high school,	84.5657
76	DCB_se3_ag4_m_02	84.5657	(pause 1.48)	86.0452
77	DCB_se3_ag4_m_02	86.0452	we had the Washington Post and the	87.5813
78	DCB_se3_ag4_m_02	87.5813	(pause 0.46)	88.0415
79	DCB_se3_ag4_m_02	88.0415	Washington- the Evening Star.	89.3511
80	DCB_se3_ag4_m_02	89.3511	(pause 0.57)	89.9215
81	DCB_se3_ag4_m_02	89.9215	Two newspapers.	90.7214
82	DCB_se3_ag4_m_02	90.7214	(pause 1.76)	92.4770
83	DCB_se3_ag4_m_02	92.4770	The	93.0575
84	DCB_se3_ag4_m_02	93.0575	(pause 0.24)	93.2982
85	DCB_se3_ag4_m_02	93.2982	high school	94.1406
86	DCB_se3_ag4_m_02	94.1406	(pause 0.21)	94.3529
87	DCB_se3_ag4_m_02	94.3529	sports	95.2590
88	DCB_se3_ag4_m_02	95.2590	(pause 1.46)	96.7144
89	DCB_se3_ag4_m_02	96.7144	dominated	97.4860
90	DCB_se3_ag4_m_02	97.4860	(pause 0.45)	97.9390
91	DCB_se3_ag4_m_02	97.9390	the sports pages	99.1637
92	DCB_se3_ag4_m_02	99.1637	(pause 0.42)	99.5884
93	DCB_se3_ag4_m_02	99.5884	on	100.1406
94	DCB_se3_ag4_m_02	100.1406	(pause 2.33)	102.4737
95	DCB_se3_ag4_m_02	102.4737	Saturday and Sunday.	103.7196
96	DCB_se3_ag4_m_02	103.7196	(pause 0.49)	104.2080
97	DCB_se3_ag4_m_02	104.2080	Not	104.4275
98	DCB_se3_ag4_m_02	104.4275	(pause 0.28)	104.7106
99	DCB_se3_ag4_m_02	104.7106	the professional sports,	105.7654
100	DCB_se3_ag4_m_02	105.7654	(pause 0.29)	106.0556
101	DCB_se3_ag4_m_02	106.0556	the high school sports	107.2732
102	DCB_se3_ag4_m_02	107.2732	(pause 0.97)	108.2414
103	DCB_se3_ag4_m_02	108.2414	dominated	109.0895
104	DCB_se3_ag4_m_02	109.0895	(pause 0.45)	109.5426
105	DCB_se3_ag4_m_02	109.5426	the sports pages	110.8239
106	DCB_se3_ag4_m_02	110.8239	(pause 0.86)	111.6804
107	DCB_se3_ag4_m_02	111.6804	on Saturday and Sunday.	112.7069
108	DCB_se3_ag4_m_02	112.7069	(pause 2.99)	115.6983
109	DCB_se3_ag4_m_02	115.6983	And	116.4558
110	DCB_se3_ag4_m_02	116.4558	(pause 1.17)	117.6238
111	DCB_se3_ag4_m_02	117.6238	that was a-	118.3600
112	DCB_se3_ag4_m_02	118.3600	(pause 0.21)	118.5724
113	DCB_se3_ag4_m_02	118.5724	high school sports was huge	120.9514
114	DCB_se3_ag4_m_02	120.9514	(pause 0.53)	121.4860
115	DCB_se3_ag4_m_02	121.4860	here.	121.8470
116	DCB_se3_ag4_m_02	121.8470	(pause 1.63)	123.4751
