Line	Spkr	StTime	Content	EnTime
1	ROC_int_01	0.6563	Wait,	1.1483
2	ROC_int_01	1.1483	(pause 0.80)	1.9526
3	ROC_int_01	1.9526	Ah, th- they have shows there?	3.2320
4	ROC_se0_ag1_m_02	4.2502	You need to go.	4.8937
5	ROC_int_01	5.4438	[I had no idea.]	6.7978
6	ROC_se0_ag1_m_02	5.4672	[Monday- every Monday], open mic.	7.2695
7	ROC_int_01	7.3171	I had no idea.	8.3046
8	ROC_se0_ag1_m_02	8.4166	/They have like/ good wings.	9.6612
9	ROC_se0_ag1_m_02	9.6612	(pause 0.47)	10.1336
10	ROC_se0_ag1_m_02	10.1336	It- a lot of comedy, poets, singing.	12.3298
11	ROC_se0_ag1_m_02	12.3298	(pause 0.92)	13.2519
12	ROC_se0_ag1_m_02	13.2519	[Dope.]	13.6110
13	ROC_int_01	13.2566	[Okay.] Every Monda- Dang, well, I'm leaving now. [So, but I had] no [idea]	17.3506
14	ROC_se0_ag1_m_02	15.7419	[Aw.]	16.2036
15	ROC_se0_ag1_m_02	16.2036	(pause 0.63)	16.8377
16	ROC_se0_ag1_m_02	16.8377	[Yeah, sick.]	18.0874
17	ROC_int_01	17.8018	[that it] was-	18.6971
18	ROC_se0_ag1_m_02	18.8509	Mm-hm. My boy /RD-NAME-2/, his family own it. It's black owned and stuff.	21.7559
19	ROC_se0_ag1_m_02	21.7559	(pause 0.31)	22.0637
20	ROC_se0_ag1_m_02	22.0637	So, you know, we come and support.	23.1268
21	ROC_se0_ag1_m_02	23.1268	(pause 0.47)	23.5920
22	ROC_se0_ag1_m_02	23.5920	At first we started off, it was like eight people in there.	25.7602
23	ROC_se0_ag1_m_02	25.7602	(pause 0.38)	26.1379
24	ROC_se0_ag1_m_02	26.1379	But	26.3571
25	ROC_se0_ag1_m_02	26.3571	(pause 0.77)	27.1311
26	ROC_se0_ag1_m_02	27.1311	this Monday, it was like forty-five people in there.	29.5185
27	ROC_int_01	29.6479	And you realize I live right around the corner.	31.5084
28	ROC_se0_ag1_m_02	31.7322	Nah.	32.3990
29	ROC_int_01	32.4550	I live on /RD-ADDRESS-3/.	33.8026
30	ROC_se0_ag1_m_02	34.0544	I thought you lived o- off of /RD-STREET-3/.	35.6024
31	ROC_int_01	35.6677	No, [/RD-ADDRESS-3/.]	36.9127
32	ROC_se0_ag1_m_02	36.7250	[Oh wow.]	37.8068
33	ROC_int_01	37.4711	[Like that's] literally [/inaudible/.]	39.8212
34	ROC_se0_ag1_m_02	38.7301	[That's crazy. Yo], you been missing some dope [stuff (laughing), every Monday.]	42.1878
35	ROC_int_01	40.7678	[Yeah. I'm like-]	41.8869
36	ROC_int_01	42.3007	/?/ yeah, and	42.9908
37	ROC_int_01	42.9908	(pause 0.31)	43.2986
38	ROC_int_01	43.2986	I probably walked past it, cause I know my mom and I-	45.7000
39	ROC_int_01	45.7000	(pause 0.15)	45.8492
40	ROC_int_01	45.8492	we be walking, like,	46.8470
41	ROC_int_01	46.8470	(pause 0.46)	47.3087
42	ROC_int_01	47.3087	[up the street] and we'll see stuff going on. We'll be like, oh what's happening? But	50.4876
43	ROC_se0_ag1_m_02	47.4252	[Yeah.]	48.0547
44	ROC_int_01	51.3596	we be thinking it's a private event, [so /it's/ like, somebody rented] the [space.]	54.8460
45	ROC_se0_ag1_m_02	52.8750	[Nah.]	54.1713
46	ROC_se0_ag1_m_02	54.1713	(pause 0.49)	54.6595
47	ROC_se0_ag1_m_02	54.6595	[Go] in there every Monday.	55.7882
48	ROC_se0_ag1_m_02	56.1462	Yeah, [that's the spot.]	57.5167
49	ROC_int_01	56.5841	[I'm'a tell /her/ cause I] know she's gonna go.	58.4119
50	ROC_se0_ag1_m_02	58.8004	Yeah, they [got dope] poets, female comedians. It's mad dope.	61.8205
51	ROC_int_01	59.3026	[/inaudible/]	59.7129
52	ROC_se0_ag1_m_02	62.5063	Mm-hm.	63.0985
53	ROC_int_01	63.2229	Wow, that's dope.	64.2674
54	ROC_se0_ag1_m_02	64.3560	[And it's free.]	65.0088
55	ROC_int_01	64.4119	[Okay.]	64.9575
56	ROC_int_01	65.6056	Right, like it- Okay, ugh.	67.6154
57	ROC_int_01	67.6154	(pause 0.76)	68.3789
58	ROC_int_01	68.3789	I'm mad that I [/missed that/. <laugh>]	70.2208
59	ROC_se0_ag1_m_02	68.9740	[<laugh>]	69.8693
60	ROC_int_01	70.6031	[But, um], oh, okay,	71.9460
61	ROC_se0_ag1_m_02	70.6527	[/Yeah./]	71.0665
62	ROC_int_01	72.0486	uh, do you consent to doing this interview with me?	75.1512
63	ROC_se0_ag1_m_02	75.1605	Yes.	75.6501
64	ROC_int_01	75.6874	Ok, great.	76.5268
65	ROC_int_01	76.5268	(pause 0.14)	76.6713
66	ROC_int_01	76.6713	Um,	77.1329
67	ROC_int_01	77.1329	(pause 0.69)	77.8248
68	ROC_int_01	77.8248	so, uh, if you see me look down a couple times, it's just so I can get a sense of	81.5012
69	ROC_se0_ag1_m_02	81.8323	<clears throat>	82.0468
70	ROC_int_01	81.8649	what time it is, and,	83.4083
71	ROC_int_01	83.6275	yeah, stuff like that.	84.6627
72	ROC_int_01	84.6627	(pause 0.42)	85.0870
73	ROC_int_01	85.0870	Um, again, the questions are pretty open-ended. So,	88.0683
74	ROC_int_01	88.0683	(pause 0.41)	88.4787
75	ROC_int_01	88.4787	you could take it	89.3040
76	ROC_int_01	89.3040	(pause 0.28)	89.5838
77	ROC_int_01	89.5838	where you would like.	90.4138
78	ROC_int_01	90.4138	(pause 0.17)	90.5816
79	ROC_int_01	90.5816	Um,	90.9984
80	ROC_int_01	90.9984	(pause 0.71)	91.7089
81	ROC_int_01	91.7089	but the first question I usually start off with is asking people where in Rochester did they grow up.	96.5863
82	ROC_se0_ag1_m_02	97.4105	Okay.	97.7649
83	ROC_se0_ag1_m_02	97.7649	(pause 0.66)	98.4223
84	ROC_se0_ag1_m_02	98.4223	Um, I grew up on /RD-ADRESS-6/. It used to be called /RD-STREET-2/ Avenue,	102.1573
85	ROC_se0_ag1_m_02	102.1573	(pause 0.79)	102.9424
86	ROC_se0_ag1_m_02	102.9424	a- on /RD-ADDRESS-2/ Court.	104.1128
87	ROC_se0_ag1_m_02	104.1128	(pause 0.76)	104.8775
88	ROC_se0_ag1_m_02	104.8775	I was actually born there.	105.9564
89	ROC_se0_ag1_m_02	105.9564	(pause 0.09)	106.0450
90	ROC_se0_ag1_m_02	106.0450	I was born on /RD-ADDRESS-2/ Court.	107.0988
91	ROC_se0_ag1_m_02	107.0988	(pause 0.87)	107.9709
92	ROC_se0_ag1_m_02	107.9709	And I lived there all the way up to like-	109.3248
