Line	Spkr	StTime	Content	EnTime
1	ROC_int_01	0.2753	[Oh]	0.5087
2	ROC_se0_ag3_f_02	0.3403	[You could] ask [me some questions.]	2.0704
3	ROC_int_01	0.9017	[yeah.]	1.4124
4	ROC_int_01	1.4124	(pause 0.28)	1.6953
5	ROC_int_01	1.6953	[Okay], great. [Yeah, well] you told me a lot of really great things and I [just wanted] to expand on some parts, so [if you could just] /??/, for example, like,	8.9639
6	ROC_se0_ag3_f_02	2.6321	[Okay.]	3.1291
7	ROC_se0_ag3_f_02	3.1291	(pause 2.20)	5.3304
8	ROC_se0_ag3_f_02	5.3304	[Okay.]	6.0275
9	ROC_se0_ag3_f_02	6.0275	(pause 1.16)	7.1896
10	ROC_se0_ag3_f_02	7.1896	[Okay.]	7.7072
11	ROC_int_01	9.2375	there wasn't a lot of discrimination against	11.4779
12	ROC_int_01	11.4779	(pause 0.16)	11.6396
13	ROC_int_01	11.6396	same sex couples.	13.0045
14	ROC_se0_ag3_f_02	12.9700	[Mm-hm.]	13.5195
15	ROC_int_01	13.2426	[Was-] uh, did African Americans experience, uh, discriminatio- much discrimination then or?	18.8679
16	ROC_se0_ag3_f_02	20.1656	I think we did	21.7327
17	ROC_se0_ag3_f_02	21.7327	(pause 0.65)	22.3780
18	ROC_se0_ag3_f_02	22.3780	but	22.6998
19	ROC_se0_ag3_f_02	22.6998	(pause 0.35)	23.0480
20	ROC_se0_ag3_f_02	23.0480	I can't tell you that	24.4161
21	ROC_se0_ag3_f_02	24.4161	(pause 0.99)	25.4045
22	ROC_se0_ag3_f_02	25.4045	I personally	26.5114
23	ROC_se0_ag3_f_02	26.5114	(pause 0.60)	27.1159
24	ROC_se0_ag3_f_02	27.1159	felt it.	27.7206
25	ROC_se0_ag3_f_02	27.7206	(pause 1.64)	29.3593
26	ROC_se0_ag3_f_02	29.3593	Um,	29.9480
27	ROC_se0_ag3_f_02	29.9480	(pause 1.25)	31.2017
28	ROC_se0_ag3_f_02	31.2017	but I'm sure-	32.1469
29	ROC_se0_ag3_f_02	32.1469	(pause 0.92)	33.0673
30	ROC_se0_ag3_f_02	33.0673	I'm sure we did.	34.0287
31	ROC_se0_ag3_f_02	34.0287	(pause 0.46)	34.4843
32	ROC_se0_ag3_f_02	34.4843	We probably couldn't	35.6308
33	ROC_se0_ag3_f_02	35.6308	(pause 0.28)	35.9098
34	ROC_se0_ag3_f_02	35.9098	live where we wanted to live	37.5908
35	ROC_se0_ag3_f_02	37.5908	(pause 0.40)	37.9905
36	ROC_se0_ag3_f_02	37.9905	or work where we wanted to work.	39.8260
37	ROC_se0_ag3_f_02	39.8260	(pause 0.58)	40.4104
38	ROC_se0_ag3_f_02	40.4104	But I'm sure that discrimination was there.	42.9710
39	ROC_int_01	43.0355	Mm-hm.	43.4833
40	ROC_se0_ag3_f_02	44.1300	But if it had been	45.6142
41	ROC_se0_ag3_f_02	45.6142	(pause 1.30)	46.9127
42	ROC_se0_ag3_f_02	46.9127	<ts>	46.9978
43	ROC_se0_ag3_f_02	46.9978	(pause 1.18)	48.1778
44	ROC_se0_ag3_f_02	48.1778	I probably woulda remember if it had been	50.6069
45	ROC_se0_ag3_f_02	50.6069	(pause 0.48)	51.0878
46	ROC_se0_ag3_f_02	51.0878	really bad.	52.0421
47	ROC_se0_ag3_f_02	52.0421	(pause 0.34)	52.3802
48	ROC_se0_ag3_f_02	52.3802	I would remember that.	53.4857
49	ROC_int_01	54.2070	Mm-hm.	54.7234
50	ROC_se0_ag3_f_02	54.8643	Yup.	55.1899
51	ROC_se0_ag3_f_02	55.1899	(pause 1.20)	56.3893
52	ROC_se0_ag3_f_02	56.3893	It's a- it's some nice people have g- 	58.6018
53	ROC_se0_ag3_f_02	58.6018	(pause 0.08)	58.6850
54	ROC_se0_ag3_f_02	58.6850	come through Rochester so- some nice white people.	61.7208
55	ROC_int_01	62.1553	Yeah.	62.4790
56	ROC_se0_ag3_f_02	62.8066	So,	63.3206
57	ROC_se0_ag3_f_02	63.3206	(pause 0.78)	64.1003
58	ROC_se0_ag3_f_02	64.1003	um,	64.7056
59	ROC_se0_ag3_f_02	64.7056	(pause 0.65)	65.3568
60	ROC_se0_ag3_f_02	65.3568	but I'm sure it was there.	66.7560
61	ROC_se0_ag3_f_02	66.7560	(pause 0.69)	67.4471
62	ROC_se0_ag3_f_02	67.4471	But I think a lot of times	69.4244
63	ROC_se0_ag3_f_02	69.4244	(pause 2.11)	71.5374
64	ROC_se0_ag3_f_02	71.5374	it's who you know.	72.4765
65	ROC_se0_ag3_f_02	72.4765	(pause 1.38)	73.8590
66	ROC_se0_ag3_f_02	73.8590	And a lot of times our parents worked for them.	76.6108
67	ROC_se0_ag3_f_02	76.6108	(pause 1.33)	77.9415
68	ROC_se0_ag3_f_02	77.9415	You know.	78.3686
69	ROC_se0_ag3_f_02	78.3686	(pause 0.83)	79.1944
70	ROC_se0_ag3_f_02	79.1944	So,	79.7250
71	ROC_se0_ag3_f_02	79.7250	(pause 0.70)	80.4260
72	ROC_se0_ag3_f_02	80.4260	naturally not gonna distrip- discriminate us- against us in-	84.3318
73	ROC_se0_ag3_f_02	84.3318	(pause 0.42)	84.7542
74	ROC_se0_ag3_f_02	84.7542	Well, it-	85.1522
75	ROC_se0_ag3_f_02	85.1522	(pause 0.66)	85.8155
76	ROC_se0_ag3_f_02	85.8155	let me tell you something. Let me back up.	87.7546
77	ROC_se0_ag3_f_02	87.7546	(pause 0.60)	88.3596
78	ROC_se0_ag3_f_02	88.3596	Yes.	88.9400
79	ROC_se0_ag3_f_02	88.9400	(pause 0.88)	89.8238
80	ROC_se0_ag3_f_02	89.8238	But, it wasn't in Rochester. It was in	92.3018
81	ROC_se0_ag3_f_02	92.3018	(pause 0.12)	92.4267
82	ROC_se0_ag3_f_02	92.4267	Brighton.	93.1819
83	ROC_int_01	94.2266	Oh wow.	95.0226
84	ROC_se0_ag3_f_02	94.9718	My mother,	95.7678
85	ROC_se0_ag3_f_02	96.4477	worked in Brighton.	97.5587
86	ROC_se0_ag3_f_02	97.5587	(pause 0.65)	98.2055
87	ROC_se0_ag3_f_02	98.2055	Now, everybody- 	99.2452
88	ROC_se0_ag3_f_02	99.2452	(pause 0.17)	99.4131
89	ROC_se0_ag3_f_02	99.4131	Did anybody you talk to tell you about Joseph Avenue?	102.2965
90	ROC_int_01	103.2418	Um.	104.1538
91	ROC_se0_ag3_f_02	104.2940	That was, like, a mall.	105.6393
92	ROC_se0_ag3_f_02	105.6393	(pause 0.58)	106.2176
93	ROC_se0_ag3_f_02	106.2176	Cause [it was nothing but] stores up and down Joseph Avenue.	110.6536
94	ROC_int_01	106.5178	[I don't remember.]	107.5799
95	ROC_se0_ag3_f_02	111.2401	You- anything you wanted,	112.6745
96	ROC_se0_ag3_f_02	112.6745	(pause 0.41)	113.0891
97	ROC_se0_ag3_f_02	113.0891	you go to Joseph Avenue.	114.4987
98	ROC_se0_ag3_f_02	114.4987	(pause 0.40)	114.8967
99	ROC_se0_ag3_f_02	114.8967	Our first,	115.6014
100	ROC_se0_ag3_f_02	115.6014	(pause 1.02)	116.6213
101	ROC_se0_ag3_f_02	116.6213	uh, black woman to work in a store on Joseph Avenue,	119.9069
102	ROC_se0_ag3_f_02	119.9069	(pause 0.39)	120.2966
103	ROC_se0_ag3_f_02	120.2966	died recently.	121.3869
104	ROC_se0_ag3_f_02	121.3869	(pause 0.66)	122.0419
105	ROC_se0_ag3_f_02	122.0419	Uh, her name was Mrs. /RD-NAME-2/. /RD-NAME-5/.	124.9278
106	ROC_se0_ag3_f_02	124.9278	(pause 0.84)	125.7686
107	ROC_se0_ag3_f_02	125.7686	And she	126.6226
108	ROC_se0_ag3_f_02	126.6226	(pause 0.30)	126.9255
109	ROC_se0_ag3_f_02	126.9255	was the first	127.8599
110	ROC_se0_ag3_f_02	127.8599	(pause 1.55)	129.4145
111	ROC_se0_ag3_f_02	129.4145	black person to have a job on Joseph Avenue.	132.6705
112	ROC_se0_ag3_f_02	132.6705	(pause 0.21)	132.8795
113	ROC_se0_ag3_f_02	132.8795	She worked at /RD-WORK-3/	134.4562
114	ROC_se0_ag3_f_02	134.4562	(pause 0.48)	134.9405
115	ROC_se0_ag3_f_02	134.9405	 Drug Store.	135.7447
116	ROC_se0_ag3_f_02	135.7447	(pause 0.94)	136.6817
117	ROC_se0_ag3_f_02	136.6817	And I remember Mrs. /RD-NAME-2/ she always wore these pretty 	139.4101
118	ROC_se0_ag3_f_02	139.4101	(pause 0.31)	139.7169
119	ROC_se0_ag3_f_02	139.7169	necklace and matching earrings.	141.8230
120	ROC_se0_ag3_f_02	141.8230	(pause 0.80)	142.6190
121	ROC_se0_ag3_f_02	142.6190	And, she ca-	143.4150
122	ROC_se0_ag3_f_02	143.4150	(pause 0.41)	143.8212
123	ROC_se0_ag3_f_02	143.8212	She worked at /RD-WORK-3/, and she went on to become a school teacher.	148.0334
124	ROC_se0_ag3_f_02	148.0334	(pause 0.81)	148.8433
125	ROC_se0_ag3_f_02	148.8433	And she retired from /RD-WORK-5/ school on Barrington Street.	152.8881
126	ROC_se0_ag3_f_02	152.8881	(pause 0.96)	153.8519
127	ROC_se0_ag3_f_02	153.8519	So,	154.2789
128	ROC_se0_ag3_f_02	154.2789	(pause 0.80)	155.0771
129	ROC_se0_ag3_f_02	155.0771	yes, there was	156.1477
130	ROC_se0_ag3_f_02	156.1477	(pause 1.70)	157.8459
131	ROC_se0_ag3_f_02	157.8459	discrimination.	158.9811
132	ROC_se0_ag3_f_02	158.9811	(pause 0.77)	159.7544
133	ROC_se0_ag3_f_02	159.7544	Um,	160.2929
134	ROC_se0_ag3_f_02	160.2929	(pause 2.39)	162.6809
135	ROC_se0_ag3_f_02	162.6809	my mother,	163.3525
136	ROC_se0_ag3_f_02	163.3525	(pause 0.51)	163.8652
137	ROC_se0_ag3_f_02	163.8652	I told you, my mother did	165.1388
138	ROC_se0_ag3_f_02	165.1388	(pause 0.39)	165.5285
139	ROC_se0_ag3_f_02	165.5285	housework.	166.0982
140	ROC_se0_ag3_f_02	166.0982	(pause 0.32)	166.4194
141	ROC_se0_ag3_f_02	166.4194	Daywork for white people.	168.0230
142	ROC_se0_ag3_f_02	168.0230	(pause 1.14)	169.1584
143	ROC_se0_ag3_f_02	169.1584	And	169.5088
144	ROC_se0_ag3_f_02	169.5088	(pause 0.50)	170.0135
145	ROC_se0_ag3_f_02	170.0135	depending on what house she went to,	172.5170
146	ROC_se0_ag3_f_02	172.5170	(pause 0.36)	172.8735
147	ROC_se0_ag3_f_02	172.8735	I couldn't go inside,	174.3616
148	ROC_se0_ag3_f_02	174.3616	(pause 0.67)	175.0288
149	ROC_se0_ag3_f_02	175.0288	when she'd take me with her.	176.3233
150	ROC_se0_ag3_f_02	176.3233	(pause 0.64)	176.9597
151	ROC_se0_ag3_f_02	176.9597	So,	177.3836
152	ROC_se0_ag3_f_02	177.3836	(pause 0.99)	178.3755
153	ROC_se0_ag3_f_02	178.3755	on those days,	179.5231
154	ROC_se0_ag3_f_02	179.5231	(pause 0.94)	180.4639
155	ROC_se0_ag3_f_02	180.4639	when she go to a house where I couldn't go inside,	183.8804
156	ROC_se0_ag3_f_02	183.8804	(pause 0.97)	184.8523
157	ROC_se0_ag3_f_02	184.8523	I would have to go to the beach.	186.5521
158	ROC_se0_ag3_f_02	186.5521	(pause 0.50)	187.0488
159	ROC_se0_ag3_f_02	187.0488	Charlotte Beach.	188.0372
160	ROC_se0_ag3_f_02	188.0372	(pause 1.09)	189.1297
161	ROC_se0_ag3_f_02	189.1297	And,	189.5691
162	ROC_se0_ag3_f_02	189.5691	(pause 0.75)	190.3153
163	ROC_se0_ag3_f_02	190.3153	we would ride the bus til we get downtown,	192.9377
164	ROC_se0_ag3_f_02	192.9377	(pause 0.56)	193.4932
165	ROC_se0_ag3_f_02	193.4932	and she'd get a bus and go to Brighton.	195.4227
166	ROC_se0_ag3_f_02	195.4227	(pause 0.38)	195.8041
167	ROC_se0_ag3_f_02	195.8041	I get the bus and go out to Charlotte Beach.	198.1506
168	ROC_se0_ag3_f_02	198.1506	(pause 0.66)	198.8084
169	ROC_se0_ag3_f_02	198.8084	And,	199.1235
170	ROC_se0_ag3_f_02	199.1235	(pause 1.29)	200.4170
171	ROC_se0_ag3_f_02	200.4170	I don't think we met	201.6607
172	ROC_se0_ag3_f_02	201.6607	(pause 0.89)	202.5515
173	ROC_se0_ag3_f_02	202.5515	coming back cause we didn't know how to do that,	205.0486
174	ROC_se0_ag3_f_02	205.0486	(pause 0.50)	205.5531
175	ROC_se0_ag3_f_02	205.5531	or unless she said,	206.4202
176	ROC_se0_ag3_f_02	206.4202	(pause 0.34)	206.7554
177	ROC_se0_ag3_f_02	206.7554	you get on the bus at a certain time. I don't know how we-	209.9151
178	ROC_se0_ag3_f_02	209.9151	(pause 0.96)	210.8790
179	ROC_se0_ag3_f_02	210.8790	I don't even know if we came back home at the same time.	213.3593
180	ROC_se0_ag3_f_02	213.3593	(pause 0.64)	213.9977
181	ROC_se0_ag3_f_02	213.9977	But, that's what I felt.	215.5897
182	ROC_se0_ag3_f_02	215.5897	(pause 0.81)	216.3990
183	ROC_se0_ag3_f_02	216.3990	And, my mother, I know it hurt her.	218.5384
184	ROC_se0_ag3_f_02	218.5384	(pause 0.83)	219.3634
185	ROC_se0_ag3_f_02	219.3634	And,	219.6660
186	ROC_se0_ag3_f_02	219.6660	(pause 0.78)	220.4494
187	ROC_se0_ag3_f_02	220.4494	she have to-	221.0962
188	ROC_se0_ag3_f_02	221.0962	(pause 0.27)	221.3615
189	ROC_se0_ag3_f_02	221.3615	She h-	222.0165
190	ROC_se0_ag3_f_02	222.0165	(pause 0.39)	222.4062
191	ROC_se0_ag3_f_02	222.4062	took me to a gas station at the twelve corners,	225.5238
192	ROC_se0_ag3_f_02	225.5238	(pause 0.60)	226.1239
193	ROC_se0_ag3_f_02	226.1239	when I had to go to the bathroom.	227.6413
194	ROC_se0_ag3_f_02	227.6413	(pause 0.55)	228.1885
195	ROC_se0_ag3_f_02	228.1885	So, that was a problem for her	230.8003
196	ROC_se0_ag3_f_02	230.8003	(pause 0.31)	231.1066
197	ROC_se0_ag3_f_02	231.1066	to leave work.	232.0601
198	ROC_se0_ag3_f_02	232.0601	(pause 0.58)	232.6366
199	ROC_se0_ag3_f_02	232.6366	And walk me down	233.7995
200	ROC_se0_ag3_f_02	233.7995	(pause 0.51)	234.3053
201	ROC_se0_ag3_f_02	234.3053	 to a gas station and go to bathroom.	236.2574
202	ROC_se0_ag3_f_02	236.2574	(pause 0.90)	237.1612
203	ROC_se0_ag3_f_02	237.1612	So, she started	238.3718
204	ROC_se0_ag3_f_02	238.3718	(pause 0.86)	239.2341
205	ROC_se0_ag3_f_02	239.2341	sending me to Charlotte Beach	241.0417
206	ROC_se0_ag3_f_02	241.0417	(pause 0.71)	241.7501
207	ROC_se0_ag3_f_02	241.7501	when she'd go to	242.5378
208	ROC_se0_ag3_f_02	242.5378	(pause 0.21)	242.7451
209	ROC_se0_ag3_f_02	242.7451	that particular house.	244.1961
210	ROC_se0_ag3_f_02	244.1961	(pause 0.71)	244.9092
211	ROC_se0_ag3_f_02	244.9092	And,	245.4232
212	ROC_se0_ag3_f_02	245.4232	(pause 0.74)	246.1590
213	ROC_se0_ag3_f_02	246.1590	<ts>	246.2916
214	ROC_se0_ag3_f_02	246.2916	(pause 0.23)	246.5238
215	ROC_se0_ag3_f_02	246.5238	um,	246.9715
216	ROC_se0_ag3_f_02	246.9715	(pause 0.29)	247.2617
217	ROC_se0_ag3_f_02	247.2617	on other time- other days,	249.0859
218	ROC_se0_ag3_f_02	249.0859	(pause 0.51)	249.5986
219	ROC_se0_ag3_f_02	249.5986	I could sit out	250.4648
220	ROC_se0_ag3_f_02	250.4648	(pause 0.81)	251.2774
221	ROC_se0_ag3_f_02	251.2774	on the step or something.	252.9108
