Line	Spkr	StTime	Content	EnTime
1	VLD_int_01	1.1390	Alright.	1.4001
2	VLD_int_01	1.4001	(pause 0.76)	2.1648
3	VLD_int_01	2.1648	So can you say your name and today's date for me?	4.5849
4	VLD_se0_ag3_m_01	6.3183	My name is /RD-NAME-4/.	7.9830
5	VLD_se0_ag3_m_01	7.9830	(pause 0.62)	8.5985
6	VLD_se0_ag3_m_01	8.5985	Today's date is-	10.1046
7	VLD_int_01	11.4055	The fifteenth.	12.0560
8	VLD_se0_ag3_m_01	13.8058	the fifteenth of,	15.2279
9	VLD_se0_ag3_m_01	15.2279	(pause 1.10)	16.3237
10	VLD_se0_ag3_m_01	16.3237	um,	16.9300
11	VLD_se0_ag3_m_01	16.9300	(pause 0.20)	17.1326
12	VLD_se0_ag3_m_01	17.1326	May.	17.5174
13	VLD_int_01	17.8147	Mm-hm.	18.1411
14	VLD_se0_ag3_m_01	19.0550	Um,	19.6752
15	VLD_se0_ag3_m_01	19.6752	(pause 0.70)	20.3793
16	VLD_se0_ag3_m_01	20.3793	you need time?	21.0647
17	VLD_int_01	21.7782	Mm-mm.	22.0300
18	VLD_se0_ag3_m_01	22.2305	Oh.	22.5942
19	VLD_int_01	22.8833	When's your birthday?	23.4568
20	VLD_se0_ag3_m_01	25.0364	Three, twenty-six, nineteen seventy-six.	27.3772
21	VLD_int_01	28.6268	And where were you born?	29.9651
22	VLD_se0_ag3_m_01	31.1203	Valdosta, Georgia.	32.0529
23	VLD_int_01	35.6713	Um.	36.2029
24	VLD_int_01	36.2029	(pause 0.42)	36.6214
25	VLD_int_01	36.6214	What neighborhood do you claim?	37.8384
26	VLD_se0_ag3_m_01	38.9062	What neighborhood [do I] claim?	40.4204
27	VLD_int_01	39.7176	[Mm-hm.]	40.0393
28	VLD_int_01	40.5196	Mm-hm.	40.7667
29	VLD_se0_ag3_m_01	41.2703	Um.	41.9860
30	VLD_se0_ag3_m_01	41.9860	(pause 2.40)	44.3886
31	VLD_se0_ag3_m_01	44.3886	I guess I- West Side.	45.7036
32	VLD_se0_ag3_m_01	45.7036	(pause 1.26)	46.9625
33	VLD_se0_ag3_m_01	46.9625	The West Side of Valdosta.	48.0258
34	VLD_int_01	49.8617	Uh, how long have you lived here?	51.3212
35	VLD_se0_ag3_m_01	53.4661	Um.	53.9930
36	VLD_se0_ag3_m_01	53.9930	(pause 3.36)	57.3515
37	VLD_se0_ag3_m_01	57.3515	More or less,	58.3610
38	VLD_se0_ag3_m_01	58.3610	(pause 1.71)	60.0665
39	VLD_se0_ag3_m_01	60.0665	um,	60.6634
40	VLD_se0_ag3_m_01	60.6634	(pause 1.14)	61.8011
41	VLD_se0_ag3_m_01	61.8011	basically all my life except for,	63.6756
42	VLD_se0_ag3_m_01	63.6756	(pause 1.15)	64.8227
43	VLD_se0_ag3_m_01	64.8227	um,	65.3962
44	VLD_se0_ag3_m_01	65.3962	(pause 1.73)	67.1250
45	VLD_se0_ag3_m_01	67.1250	maybe,	67.5726
46	VLD_se0_ag3_m_01	67.5726	(pause 0.29)	67.8664
47	VLD_se0_ag3_m_01	67.8664	a seven, eight year period.	69.7549
48	VLD_int_01	70.1978	Where'd you live th-	70.9191
49	VLD_int_01	70.9191	(pause 0.25)	71.1738
50	VLD_int_01	71.1738	then?	71.4988
51	VLD_se0_ag3_m_01	72.2250	Um, Oklahoma City,	73.6519
52	VLD_se0_ag3_m_01	73.6519	(pause 0.55)	74.2068
53	VLD_se0_ag3_m_01	74.2068	Oklahoma.	74.7570
54	VLD_int_01	76.4123	Mkay.	76.8646
55	VLD_int_01	76.8646	(pause 1.01)	77.8707
56	VLD_int_01	77.8707	And	79.0877
57	VLD_int_01	79.0877	(pause 0.38)	79.4654
58	VLD_int_01	79.4654	where- where'd you go to school?	80.5938
59	VLD_se0_ag3_m_01	81.9600	Um,	82.5196
60	VLD_se0_ag3_m_01	82.5196	(pause 0.63)	83.1491
61	VLD_se0_ag3_m_01	83.1491	I did most of my schooling	84.5841
62	VLD_se0_ag3_m_01	84.5841	(pause 1.18)	85.7685
63	VLD_se0_ag3_m_01	85.7685	actually,	86.3840
64	VLD_se0_ag3_m_01	86.3840	(pause 0.77)	87.1531
65	VLD_se0_ag3_m_01	87.1531	in Oklahoma, my middle school years.	89.4382
