,ref_transcript,hyp_transcript,diff_name,diff_type,frequency,percentage
0,rev,coraal,final_s_del_20a_21b,morpho_syntax,99,0.011318166228421174
1,rev,coraal,stem_for_past_20e,morpho_syntax,62,0.007088144506688008
2,rev,coraal,add_pronoun_21d,morpho_syntax,72,0.008231393620669944
3,rev,coraal,is_red_form,morpho_syntax,413,0.047216188407453986
4,rev,coraal,is_contraction,reductions,41,0.00468732136732594
5,rev,coraal,filler_sub,verbatim,444,0.05076026066079799
6,rev,coraal,filler_del,verbatim,395,0.045158340002286496
7,rev,coraal,is_restart,verbatim,112,0.01280439007659769
8,rev,coraal,del_restart,verbatim,459,0.052475134331770895
9,rev,coraal,is_lexical,morpho_syntax,427,0.048816737167028695
10,rev,coraal,cop_aux_del_19a,morpho_syntax,59,0.0067451697724934265
11,rev,coraal,invariant_be_19b,morpho_syntax,28,0.0032010975191494226
12,rev,coraal,future_ll_del_19c,morpho_syntax,14,0.0016005487595747113
13,rev,coraal,switch_sin_plu_20b,morpho_syntax,15,0.001714873670972905
14,rev,coraal,aint_sub_22a,morpho_syntax,7,0.0008002743797873557
15,rev,coraal,they_their_sub_8ish,morpho_syntax,15,0.001714873670972905
16,rev,coraal,gone_go_19n,morpho_syntax,28,0.0032010975191494226
17,rev,coraal,if_whether_del_23b,morpho_syntax,10,0.0011432491139819366
18,rev,coraal,it_there_sub_24a,morpho_syntax,18,0.002057848405167486
19,rev,coraal,finna_19i,morpho_syntax,7,0.0008002743797873557
20,rev,coraal,done_del_19g,morpho_syntax,1,0.00011432491139819366
21,rev,coraal,all_combined,morpho_syntax,1275,0.14576426203269693
22,rev,coraal,all_combined,reductions,41,0.00468732136732594
23,rev,coraal,all_combined,verbatim,1410,0.16119812507145306
24,coraal,amber,add_pronoun_21d,morpho_syntax,95,0.007893643539675945
25,coraal,amber,is_red_form,morpho_syntax,406,0.033734939759036145
26,coraal,amber,is_contraction,reductions,73,0.006065641877856252
27,coraal,amber,filler_sub,verbatim,983,0.08167843788948899
28,coraal,amber,filler_del,verbatim,544,0.045201495637723306
29,coraal,amber,is_restart,verbatim,327,0.027170751973410887
