file_id,audio_length,sample_rate,company_name,financial_quarter,sector,speaker_switches,unique_speakers,curator_id
4320211,3285.848,24000,Monro Inc,3,Consumer Goods,82,10,1
4330115,2458.904,24000,Culp Inc,3,Industrial Goods,43,8,1
4341191,5740.64,24000,General Electric,1,Conglomerate,147,14,1
4344338,2721.169,44100,Danaher Corp,1,Conglomerate,51,7,1
4344866,3275.456,24000,Spire Inc,2,Utilities,82,10,8
4346818,3972.022,11025,Ingersoll Rand,1,Industrial Goods,99,14,0
4346923,4709.418,16000,Cementos Argos,1,Industrial Goods,120,20,1
4359732,4887.498,44100,Kuehne Nagel International,2,Services,114,13,9
4359971,3759.944,24000,Constellium,2,Industrial Goods,116,10,8
4360366,3906.752,24000,Travelers Companies Inc,2,Financial,104,15,8
4360674,3595.023,11025,Nextera Energy Inc,2,Utilities,43,9,8
4360717,4511.312,24000,Fomento Economico Mexicano,2,Consumer Goods,120,15,8
4361631,4411.446,22050,Enagas,2,Utilities,28,12,1
4363614,5586.921,11025,Banco Santander,2,Financial,68,17,1
4364366,3506.05,11025,Mosaic Company,2,Basic Materials,97,6,8
4365024,4328.676,16000,Nextar Media Group,2,Services,105,13,8
4365948,2519.009,22050,GCP Applied Technologies,2,Basic Materials,42,6,8
4366302,3595.049,44100,Healthcare Realty Trusts,2,Financial,93,15,8
4366429,4010.929,44100,Dentsply Sironas XRay,2,Healthcare,78,13,8
4366522,1817.901,22050,Aldeyra Therapeutics Inc,2,Healthcare,22,5,1
4366893,2366.394,16000,Earthstone Energy Inc,2,Basic Materials,51,9,2
4367318,1720.832,24000,AcelRX Pharmaceuticals Inc,2,Healthcare,37,7,1
4367535,3175.328,24000,Affimed,2,Healthcare,54,11,3
4368670,4222.006,22050,RWE Aktiengesellschaft,2,Utilities,95,15,3
4374910,2028.536,24000,American Express Company,3,Financial,56,2,1
4375653,3472.184,24000,Illumina,3,Healthcare,32,10,8
4382825,3795.147,44100,Conocophillips,3,Basic Materials,91,18,9
4383161,3376.712,24000,Pilgrims Pride Corp,3,Consumer Goods,57,11,9
4384198,2636.382,44100,New Home Company Inc,3,Industrial Goods,60,9,4
4384683,1476.776,24000,One Gas Inc,3,Basic Materials,31,8,9
4384744,3272,16000,Adtran Inc,3,Technology,86,9,4
4384964,4022.624,24000,Eversource,3,Utilities,112,15,4
4385072,2560.008,24000,Sitime Corp,3,Technology,61,10,5
4385388,4346.451,44100,Yeti Holdings,3,Consumer Goods,67,12,9
4385939,3049.832,24000,Hershey Company,3,Consumer Goods,132,19,9
4386541,1097.1,16000,Cumulus Media Inc,3,Services,17,5,6
4387332,1310.192,24000,Zagg Inc,3,Services,27,6,6
4387383,2158.072,22050,Clipper Realty Inc,3,Financial,56,10,6
4387865,2162.637,11025,Indentiv Inc,3,Technology,50,5,3
4389907,2058.848,24000,Pheonix New Media Ltd,3,Technology,24,7,3
4392809,1438.04,24000,Lands End Inc,3,Services,26,6,3
4394084,1758.024,16000,Innovative Solutions and Support Inc,4,Technology,41,6,7
4397800,2771.672,24000,Rev Group Inc,4,Conglomerate,68,9,7
4397829,4472.768,24000,Bed Bath and Beyond Inc,3,Conglomerate,77,15,7
